feedback_id,patient_id,country,device,timestamp,issue_type,resolved,source,comments,user_rating,tags
48,48,Iceland,Tablet,2025-12-13T15:25,font_size,True,in-app_survey,Screenreader skips sections,,
49,49,Switzerland,Desktop,2025-12-17T14:03,audio,True,in-app_survey,All accessible,,
50,50,Latvia,Tablet,2025-12-17T13:53,audio,False,website_form,All accessible,2.9,"satisfied,resolved,feature-request"
51,51,Austria,Tablet,2025-05-25T16:31,video,True,support_email,All accessible,,
52,52,San Marino,Desktop,2025-03-05T07:24,video,True,website_form,Screenreader skips sections,2.1,"feature-request,resolved"
53,53,Turkey,Tablet,2025-08-14T01:13,none,False,call_center,Hard to read buttons,,
54,54,Serbia,Mobile,2025-01-12T09:48,labels,False,chatbot,Color contrast poor,,
55,55,Czech Republic,Mobile,2025-08-01T12:21,video,False,website_form,All accessible,,
56,56,San Marino,Desktop,2025-07-19T18:42,contrast,True,call_center,No issues,,
57,57,Finland,Desktop,2025-05-13T10:13,labels,False,support_email,Audio captions missing,,
58,58,Luxembourg,Desktop,2025-12-18T01:22,font_size,True,in-app_survey,Hard to read buttons,4.8,"feature-request,urgent"
59,59,Iceland,Desktop,2025-10-05T07:08,labels,True,chatbot,Color contrast poor,,
60,60,Poland,Mobile,2025-03-20T19:47,video,True,website_form,Font size adjustable,,
61,61,Serbia,Mobile,2025-12-07T02:37,video,True,in-app_survey,Font size adjustable,1.1,"satisfied,frustrated"
62,62,Belgium,Tablet,2025-01-12T17:27,video,False,in-app_survey,Navigation confusing,,
63,63,Bulgaria,Tablet,2025-08-23T04:27,font_size,False,chatbot,All accessible,2.7,"urgent,bug-report"
64,64,Czech Republic,Mobile,2025-04-27T02:17,labels,True,call_center,Audio captions missing,,
65,65,Ireland,Mobile,2025-05-11T08:56,audio,False,chatbot,Hard to read buttons,3.0,"minor,bug-report"
66,66,Iceland,Desktop,2025-04-24T13:31,audio,True,call_center,All accessible,,
67,67,France,Desktop,2025-05-08T12:44,font_size,False,chatbot,Navigation confusing,,
68,68,Andorra,Mobile,2025-07-24T17:21,navigation,False,support_email,Font size adjustable,,
69,69,Belgium,Tablet,2025-09-25T22:11,font_size,True,call_center,Font size adjustable,1.5,feature-request
70,70,Andorra,Tablet,2025-05-04T06:18,font_size,False,website_form,Font size adjustable,,
71,71,Malta,Mobile,2025-12-05T20:55,none,False,in-app_survey,Hard to read buttons,3.1,"urgent,resolved"
72,72,Luxembourg,Mobile,2025-08-11T05:03,navigation,False,in-app_survey,Screenreader skips sections,,
73,73,Spain,Tablet,2025-11-22T01:09,font_size,False,in-app_survey,Color contrast poor,,
74,74,Andorra,Mobile,2025-08-15T09:55,audio,False,support_email,Hard to read buttons,4.1,"satisfied,resolved,minor"
75,75,Netherlands,Desktop,2025-11-07T08:42,contrast,True,website_form,No issues,,
76,76,Denmark,Desktop,2025-07-15T22:38,labels,False,in-app_survey,Color contrast poor,,
77,77,Switzerland,Mobile,2025-11-19T21:51,font_size,False,in-app_survey,Color contrast poor,2.1,"urgent,frustrated"
78,78,Czech Republic,Desktop,2025-02-02T05:50,navigation,False,call_center,Screenreader skips sections,,
79,79,Hungary,Tablet,2025-07-09T16:34,labels,False,in-app_survey,Hard to read buttons,,
80,80,Greece,Tablet,2025-05-01T02:14,video,True,support_email,Hard to read buttons,,
81,81,Finland,Mobile,2025-09-21T14:58,navigation,True,chatbot,Audio captions missing,,
82,82,Liechtenstein,Desktop,2025-08-12T13:21,navigation,True,website_form,Navigation confusing,,
83,83,Liechtenstein,Mobile,2025-11-13T17:02,labels,True,support_email,Font size adjustable,,
84,84,UK,Tablet,2025-09-15T13:03,font_size,False,chatbot,All accessible,4.9,"resolved,satisfied"
85,85,Italy,Desktop,2025-05-18T04:59,navigation,False,call_center,Screenreader skips sections,,
86,86,Denmark,Mobile,2025-09-01T17:26,contrast,True,in-app_survey,All accessible,3.5,frustrated
87,87,Norway,Mobile,2025-12-10T16:45,navigation,False,call_center,All accessible,,
88,88,Monaco,Tablet,2025-03-28T02:17,none,False,support_email,Font size adjustable,3.2,"minor,satisfied"
89,89,Slovakia,Tablet,2025-05-27T18:37,video,False,website_form,All accessible,,
90,90,Romania,Mobile,2025-09-25T17:24,labels,False,website_form,Color contrast poor,,
91,91,Switzerland,Mobile,2025-01-11T23:30,video,False,call_center,No issues,,
92,92,Germany,Desktop,2025-09-19T10:55,contrast,False,in-app_survey,All accessible,,
93,93,Poland,Mobile,2025-10-23T12:41,contrast,False,chatbot,Audio captions missing,1.6,"minor,urgent,bug-report"
94,94,Liechtenstein,Tablet,2025-01-20T02:15,video,False,website_form,Screenreader skips sections,,
95,95,Netherlands,Tablet,2025-12-28T03:28,font_size,False,in-app_survey,Hard to read buttons,,
96,96,Norway,Desktop,2025-09-14T18:43,none,True,website_form,No issues,1.2,"feature-request,bug-report"
97,97,Norway,Desktop,2025-08-21T08:29,navigation,True,call_center,Font size adjustable,4.5,"frustrated,minor,bug-report"
98,98,Denmark,Desktop,2025-08-12T18:19,video,False,support_email,All accessible,,
99,99,Iceland,Mobile,2025-08-04T07:24,audio,False,chatbot,Font size adjustable,,
100,100,Slovakia,Desktop,2025-11-13T08:00,audio,True,chatbot,All accessible,,
101,101,Slovakia,Desktop,2025-10-26T11:14,video,True,chatbot,Font size adjustable,,
102,102,Sweden,Tablet,2025-02-21T20:02,navigation,False,in-app_survey,Navigation confusing,,
103,103,Portugal,Mobile,2025-06-24T13:11,font_size,True,chatbot,Navigation confusing,,
104,104,Czech Republic,Desktop,2025-05-27T15:51,navigation,False,in-app_survey,All accessible,,
105,105,Norway,Desktop,2025-11-24T21:25,none,False,in-app_survey,Audio captions missing,,
106,106,Poland,Tablet,2025-07-27T20:23,contrast,True,call_center,Hard to read buttons,3.1,"feature-request,frustrated"
107,107,Malta,Mobile,2025-10-08T20:04,video,False,support_email,Audio captions missing,,
108,108,Liechtenstein,Desktop,2025-02-08T17:08,labels,False,support_email,Audio captions missing,1.2,feature-request
109,109,Norway,Mobile,2025-11-04T15:39,labels,False,in-app_survey,Navigation confusing,,
110,110,Bulgaria,Desktop,2025-11-12T17:57,video,False,in-app_survey,Audio captions missing,2.8,resolved
111,111,Ireland,Tablet,2025-11-20T00:03,none,False,website_form,No issues,4.9,"urgent,frustrated"
112,112,Ireland,Desktop,2025-09-07T18:13,none,True,support_email,No issues,,
113,113,UK,Mobile,2025-03-05T17:16,none,True,in-app_survey,Hard to read buttons,,
114,114,Greece,Desktop,2025-03-09T01:08,video,False,chatbot,Screenreader skips sections,2.4,satisfied
115,115,Luxembourg,Mobile,2025-06-17T18:06,labels,True,chatbot,Hard to read buttons,,
116,116,Andorra,Mobile,2025-08-21T00:03,labels,False,call_center,Screenreader skips sections,,
117,117,Latvia,Desktop,2025-02-11T19:09,contrast,True,support_email,Navigation confusing,,
118,118,Lithuania,Desktop,2025-12-04T20:41,none,True,call_center,All accessible,3.4,"bug-report,satisfied"
119,119,Slovenia,Mobile,2025-08-13T13:46,contrast,False,call_center,Navigation confusing,,
120,120,Bulgaria,Desktop,2025-11-16T02:05,none,True,in-app_survey,Audio captions missing,,
121,121,Italy,Tablet,2025-09-18T10:42,contrast,False,support_email,Audio captions missing,4.0,satisfied
122,122,Italy,Mobile,2025-10-10T11:06,audio,True,website_form,All accessible,,
123,123,Switzerland,Mobile,2025-09-25T19:39,video,True,chatbot,Font size adjustable,1.4,"feature-request,urgent,resolved"
124,124,UK,Desktop,2025-03-19T21:25,contrast,True,in-app_survey,Screenreader skips sections,2.1,"feature-request,resolved"
125,125,Ireland,Mobile,2025-07-15T10:10,navigation,False,support_email,Screenreader skips sections,,
126,126,Norway,Desktop,2025-10-02T21:05,navigation,False,call_center,All accessible,,
127,127,Slovenia,Mobile,2025-04-25T16:07,navigation,False,in-app_survey,Font size adjustable,,
128,128,Liechtenstein,Tablet,2025-11-10T01:14,labels,True,in-app_survey,Color contrast poor,,
129,129,Poland,Mobile,2025-06-04T00:31,video,False,website_form,No issues,1.8,resolved
130,130,Spain,Mobile,2025-12-02T13:01,labels,True,support_email,Audio captions missing,3.8,"satisfied,frustrated,feature-request"
131,131,Slovenia,Mobile,2025-02-13T00:20,font_size,False,support_email,Screenreader skips sections,,
132,132,Netherlands,Desktop,2025-07-19T12:33,contrast,False,support_email,Navigation confusing,,
133,133,Belgium,Tablet,2025-09-07T11:22,video,True,website_form,Screenreader skips sections,4.1,satisfied
134,134,Finland,Tablet,2025-08-15T18:48,audio,False,chatbot,Navigation confusing,1.8,"minor,frustrated,urgent"
135,135,Greece,Desktop,2025-08-03T15:28,video,False,support_email,Hard to read buttons,,
136,136,Italy,Mobile,2025-05-03T20:55,none,True,chatbot,Audio captions missing,1.3,"bug-report,urgent"
137,137,Malta,Tablet,2025-01-15T18:41,font_size,False,chatbot,All accessible,,
138,138,Italy,Mobile,2025-02-26T10:45,contrast,True,in-app_survey,Color contrast poor,,
139,139,Latvia,Tablet,2025-09-20T05:23,navigation,False,call_center,Audio captions missing,,
140,140,Italy,Tablet,2025-11-11T02:21,contrast,False,support_email,Font size adjustable,,
141,141,Norway,Mobile,2025-02-19T21:09,navigation,False,call_center,No issues,,
142,142,Portugal,Mobile,2025-09-13T20:50,navigation,True,chatbot,Screenreader skips sections,,
143,143,Lithuania,Tablet,2025-06-01T11:19,font_size,True,support_email,All accessible,,
144,144,Slovakia,Desktop,2025-09-25T17:53,video,True,support_email,No issues,5.0,urgent
145,145,Norway,Desktop,2025-03-27T22:49,audio,True,call_center,Hard to read buttons,,
146,146,Austria,Mobile,2025-10-10T23:50,labels,True,chatbot,Color contrast poor,,
147,147,Bulgaria,Tablet,2025-10-15T14:49,navigation,False,chatbot,Audio captions missing,4.2,"resolved,minor"
148,148,Iceland,Tablet,2025-03-28T08:03,video,False,support_email,Screenreader skips sections,,
149,149,Andorra,Desktop,2025-05-03T05:17,labels,True,call_center,Screenreader skips sections,,
150,150,Switzerland,Mobile,2025-06-01T13:03,labels,False,website_form,Audio captions missing,,
151,151,Bulgaria,Desktop,2025-01-11T03:53,video,False,website_form,No issues,,
152,152,Luxembourg,Mobile,2025-10-01T02:01,navigation,True,website_form,Audio captions missing,4.7,"frustrated,minor"
153,153,Austria,Mobile,2025-11-26T19:29,contrast,True,call_center,Hard to read buttons,2.2,"urgent,resolved"
154,154,Austria,Tablet,2025-03-10T13:00,audio,False,website_form,Audio captions missing,,
155,155,San Marino,Tablet,2025-09-18T00:24,none,False,in-app_survey,Audio captions missing,3.7,"feature-request,urgent,satisfied"
156,156,Poland,Tablet,2025-01-12T02:22,font_size,True,chatbot,Navigation confusing,,
157,157,Finland,Tablet,2025-08-23T15:40,font_size,True,in-app_survey,All accessible,2.4,"resolved,frustrated"
158,158,Greece,Mobile,2025-09-13T17:30,navigation,True,website_form,Font size adjustable,1.8,urgent
159,159,Bulgaria,Mobile,2025-07-24T14:57,labels,False,website_form,All accessible,4.1,"feature-request,resolved,urgent"
160,160,Bulgaria,Tablet,2025-05-26T02:46,labels,True,call_center,No issues,,
161,161,Greece,Desktop,2025-02-11T21:18,navigation,False,chatbot,Audio captions missing,,
162,162,Romania,Tablet,2025-07-09T20:50,contrast,True,call_center,Navigation confusing,2.8,"urgent,frustrated"
163,163,Denmark,Desktop,2025-03-28T19:43,none,False,in-app_survey,No issues,,
164,164,Germany,Tablet,2025-03-22T14:23,navigation,False,in-app_survey,No issues,4.1,"feature-request,bug-report"
165,165,Croatia,Mobile,2025-11-09T07:07,contrast,True,call_center,Audio captions missing,,
166,166,Belgium,Mobile,2025-05-23T14:13,audio,False,call_center,Color contrast poor,,
167,167,Latvia,Desktop,2025-11-28T10:42,navigation,True,chatbot,Font size adjustable,4.4,"minor,frustrated"
168,168,Denmark,Tablet,2025-12-23T20:11,none,False,chatbot,Color contrast poor,,
169,169,Liechtenstein,Desktop,2025-06-18T18:23,labels,True,chatbot,Screenreader skips sections,1.8,minor
170,170,Slovenia,Mobile,2025-10-03T04:20,video,True,call_center,All accessible,2.6,"frustrated,bug-report,satisfied"
171,171,Romania,Desktop,2025-09-21T18:11,none,True,call_center,Hard to read buttons,,
172,172,Andorra,Desktop,2025-05-06T05:20,video,True,support_email,Font size adjustable,,
173,173,Poland,Desktop,2025-11-18T08:08,video,False,chatbot,Screenreader skips sections,,
174,174,Denmark,Tablet,2025-10-05T05:42,audio,False,chatbot,Hard to read buttons,,
175,175,France,Desktop,2025-01-21T18:16,video,True,chatbot,Audio captions missing,,
176,176,France,Mobile,2025-11-18T09:41,navigation,False,website_form,Audio captions missing,,
177,177,Latvia,Mobile,2025-08-15T06:21,audio,True,support_email,Navigation confusing,1.3,minor
178,178,Romania,Mobile,2025-03-25T11:32,audio,True,support_email,Color contrast poor,,
179,179,Czech Republic,Mobile,2025-04-05T03:03,navigation,False,chatbot,Audio captions missing,,
180,180,Greece,Tablet,2025-12-11T06:48,font_size,False,chatbot,All accessible,4.5,resolved
181,181,Hungary,Mobile,2025-01-03T12:32,labels,True,website_form,Navigation confusing,,
182,182,Slovakia,Tablet,2025-01-28T03:27,font_size,False,support_email,Audio captions missing,2.1,"resolved,frustrated,bug-report"
183,183,Malta,Mobile,2025-02-13T16:28,none,False,chatbot,Screenreader skips sections,2.6,"satisfied,minor,feature-request"
184,184,Malta,Mobile,2025-03-07T19:32,labels,True,in-app_survey,Hard to read buttons,1.4,"resolved,feature-request"
185,185,Norway,Tablet,2025-09-05T10:59,audio,False,website_form,Audio captions missing,2.3,"satisfied,bug-report"
186,186,Hungary,Tablet,2025-06-17T16:34,labels,False,call_center,Hard to read buttons,,
187,187,France,Tablet,2025-08-09T20:50,none,True,in-app_survey,All accessible,3.7,"satisfied,feature-request"
188,188,Austria,Desktop,2025-10-23T03:12,contrast,False,support_email,Audio captions missing,3.5,"resolved,bug-report,minor"
189,189,Luxembourg,Tablet,2025-12-02T22:08,audio,True,chatbot,Navigation confusing,3.8,"satisfied,resolved"
190,190,Luxembourg,Tablet,2025-07-11T05:29,audio,False,chatbot,Navigation confusing,,
191,191,Poland,Tablet,2025-08-07T07:17,audio,False,website_form,Font size adjustable,,
192,192,Ireland,Tablet,2025-12-16T10:30,navigation,False,support_email,Screenreader skips sections,,
193,193,San Marino,Mobile,2025-07-27T11:49,none,True,support_email,Hard to read buttons,,
194,194,Poland,Tablet,2025-08-07T06:52,audio,False,chatbot,Font size adjustable,3.9,"bug-report,frustrated"
195,195,Andorra,Desktop,2025-11-08T01:06,labels,False,call_center,Screenreader skips sections,3.5,"minor,resolved,urgent"
196,196,Sweden,Desktop,2025-09-06T13:41,labels,False,website_form,Font size adjustable,,
197,197,Switzerland,Tablet,2025-12-24T01:58,font_size,False,website_form,Hard to read buttons,3.6,frustrated
198,198,Croatia,Mobile,2025-03-24T09:56,contrast,True,support_email,Screenreader skips sections,,
199,199,Turkey,Mobile,2025-08-21T17:33,labels,True,chatbot,All accessible,,
200,200,Estonia,Tablet,2025-05-23T05:00,video,False,support_email,Color contrast poor,4.2,"minor,frustrated"
201,201,Monaco,Mobile,2025-02-13T21:06,font_size,True,call_center,Navigation confusing,4.4,"resolved,bug-report"
202,202,UK,Mobile,2025-07-08T14:48,navigation,False,support_email,Hard to read buttons,,
203,203,Belgium,Mobile,2025-05-06T12:43,audio,False,in-app_survey,Font size adjustable,2.4,urgent
204,204,Norway,Mobile,2025-12-20T11:26,video,False,chatbot,Color contrast poor,1.9,bug-report
205,205,Portugal,Tablet,2025-08-17T22:23,contrast,True,in-app_survey,Color contrast poor,,
206,206,Norway,Desktop,2025-06-28T16:28,contrast,True,chatbot,All accessible,,
207,207,Sweden,Tablet,2025-07-15T18:03,audio,False,support_email,Hard to read buttons,3.0,bug-report
208,208,Germany,Mobile,2025-06-23T02:34,contrast,True,call_center,Hard to read buttons,4.3,"minor,satisfied,urgent"
209,209,Slovenia,Mobile,2025-07-15T12:24,contrast,True,support_email,Screenreader skips sections,1.7,resolved
210,210,UK,Desktop,2025-05-15T21:46,audio,False,chatbot,Audio captions missing,3.1,"minor,frustrated,resolved"
211,211,Austria,Mobile,2025-06-05T08:12,video,True,in-app_survey,Audio captions missing,,
212,212,France,Desktop,2025-04-03T03:38,contrast,False,chatbot,Hard to read buttons,,
213,213,Ireland,Desktop,2025-03-17T09:14,none,False,chatbot,Navigation confusing,1.2,"minor,satisfied"
214,214,Hungary,Mobile,2025-01-18T18:56,video,True,call_center,All accessible,4.5,"satisfied,minor,bug-report"
215,215,Greece,Tablet,2025-07-14T04:19,labels,True,chatbot,All accessible,2.4,"frustrated,bug-report,satisfied"
216,216,Malta,Mobile,2025-07-18T16:08,labels,True,support_email,Color contrast poor,1.9,"minor,bug-report,urgent"
217,217,Portugal,Tablet,2025-12-27T06:03,navigation,False,chatbot,Hard to read buttons,1.3,"resolved,feature-request"
218,218,Iceland,Tablet,2025-12-22T17:13,labels,True,support_email,Font size adjustable,,
219,219,UK,Desktop,2025-04-24T03:47,none,False,website_form,Color contrast poor,,
220,220,Serbia,Mobile,2025-09-21T11:19,navigation,False,chatbot,All accessible,2.0,"resolved,feature-request"
221,221,Luxembourg,Mobile,2025-04-12T10:26,contrast,True,website_form,Hard to read buttons,,
222,222,Norway,Desktop,2025-06-08T12:36,none,True,call_center,Navigation confusing,4.7,"frustrated,bug-report,feature-request"
223,223,Estonia,Desktop,2025-12-26T11:10,font_size,False,website_form,Hard to read buttons,4.3,"frustrated,resolved,bug-report"
224,224,Spain,Tablet,2025-01-25T00:26,font_size,True,in-app_survey,No issues,,
225,225,Luxembourg,Tablet,2025-08-01T00:34,audio,False,in-app_survey,Hard to read buttons,3.0,"urgent,satisfied"
226,226,Czech Republic,Tablet,2025-05-01T16:52,video,False,website_form,Screenreader skips sections,,
227,227,Andorra,Desktop,2025-04-07T19:33,navigation,False,support_email,Audio captions missing,,
228,228,Switzerland,Mobile,2025-11-27T02:41,none,True,in-app_survey,Audio captions missing,4.8,"satisfied,minor"
229,229,UK,Tablet,2025-03-03T15:54,labels,False,chatbot,Screenreader skips sections,3.2,frustrated
230,230,Germany,Desktop,2025-04-28T22:56,audio,False,support_email,Hard to read buttons,,
231,231,Czech Republic,Tablet,2025-10-22T01:11,none,False,in-app_survey,Color contrast poor,,
232,232,Croatia,Desktop,2025-05-06T18:15,audio,False,chatbot,Navigation confusing,,
233,233,Romania,Desktop,2025-02-14T07:53,contrast,False,chatbot,Audio captions missing,4.0,"frustrated,urgent,satisfied"
234,234,Greece,Desktop,2025-11-09T14:31,font_size,False,chatbot,Audio captions missing,,
235,235,Serbia,Desktop,2025-10-10T07:45,contrast,True,support_email,No issues,,
236,236,Serbia,Mobile,2025-06-04T02:00,navigation,False,support_email,Font size adjustable,4.1,frustrated
237,237,Malta,Tablet,2025-07-04T00:05,navigation,True,chatbot,Navigation confusing,1.3,"bug-report,satisfied"
238,238,UK,Mobile,2025-07-13T02:46,audio,True,chatbot,No issues,,
239,239,Denmark,Desktop,2025-05-10T08:31,font_size,True,website_form,Audio captions missing,,
240,240,Poland,Desktop,2025-12-21T15:38,audio,True,call_center,Screenreader skips sections,2.2,feature-request
241,241,Serbia,Mobile,2025-08-11T13:52,none,True,support_email,Navigation confusing,1.0,"feature-request,satisfied"
242,242,Iceland,Mobile,2025-06-06T12:20,navigation,False,chatbot,Color contrast poor,,
243,243,Iceland,Tablet,2025-09-06T21:49,audio,True,call_center,Color contrast poor,2.1,"feature-request,urgent"
244,244,Slovakia,Tablet,2025-02-27T13:43,labels,True,support_email,Color contrast poor,,
245,245,Spain,Mobile,2025-10-16T18:25,audio,False,chatbot,Hard to read buttons,1.6,"resolved,bug-report"
246,246,Bulgaria,Tablet,2025-09-20T20:58,contrast,True,website_form,Navigation confusing,,
247,247,Turkey,Mobile,2025-02-01T03:16,font_size,True,call_center,Navigation confusing,3.5,"frustrated,resolved,bug-report"
248,248,Romania,Desktop,2025-08-04T09:26,contrast,True,website_form,Navigation confusing,4.1,"frustrated,satisfied,minor"
249,249,Luxembourg,Mobile,2025-08-04T14:46,video,False,support_email,Screenreader skips sections,2.8,satisfied
250,250,Turkey,Tablet,2025-02-22T05:59,video,True,chatbot,No issues,4.2,urgent
251,251,Turkey,Tablet,2025-07-15T07:51,labels,True,website_form,Audio captions missing,,
252,252,Lithuania,Mobile,2025-01-23T06:13,navigation,True,chatbot,Screenreader skips sections,3.9,bug-report
253,253,San Marino,Desktop,2025-06-11T06:29,contrast,False,call_center,Navigation confusing,,
254,254,Croatia,Tablet,2025-02-12T11:54,labels,True,support_email,Screenreader skips sections,,
255,255,Greece,Desktop,2025-04-10T03:11,navigation,True,chatbot,Audio captions missing,,
256,256,Sweden,Tablet,2025-07-14T05:31,video,True,chatbot,No issues,,
257,257,Sweden,Desktop,2025-06-27T14:39,contrast,False,in-app_survey,All accessible,,
258,258,Slovenia,Tablet,2025-08-14T22:53,labels,False,website_form,Screenreader skips sections,4.3,"satisfied,frustrated,bug-report"
259,259,Switzerland,Mobile,2025-01-09T07:34,navigation,True,call_center,All accessible,,
260,260,Belgium,Tablet,2025-02-09T17:52,navigation,True,call_center,Color contrast poor,,
261,261,Netherlands,Tablet,2025-11-25T07:19,none,True,call_center,Font size adjustable,,
262,262,Austria,Desktop,2025-12-19T22:22,none,False,website_form,No issues,4.3,"resolved,urgent"
263,263,Ireland,Desktop,2025-10-12T17:17,audio,True,support_email,Font size adjustable,,
264,264,Slovenia,Desktop,2025-05-28T20:08,video,True,website_form,No issues,2.1,"frustrated,urgent,minor"
265,265,Austria,Tablet,2025-07-16T04:36,video,False,call_center,Audio captions missing,,
266,266,Portugal,Mobile,2025-09-24T08:44,navigation,False,call_center,Navigation confusing,,
267,267,Portugal,Tablet,2025-08-21T21:44,navigation,True,chatbot,Audio captions missing,,
268,268,Czech Republic,Mobile,2025-05-11T17:36,font_size,False,support_email,Hard to read buttons,2.7,bug-report
269,269,Denmark,Mobile,2025-08-01T13:12,video,True,support_email,No issues,3.5,"urgent,resolved"
270,270,Czech Republic,Desktop,2025-11-12T08:05,navigation,True,in-app_survey,Audio captions missing,,
271,271,Switzerland,Mobile,2025-11-03T22:06,contrast,True,call_center,Screenreader skips sections,,
272,272,Turkey,Desktop,2025-07-23T04:30,contrast,True,call_center,Screenreader skips sections,1.9,"bug-report,urgent,frustrated"
273,273,Netherlands,Desktop,2025-06-12T09:08,labels,True,website_form,Screenreader skips sections,,
274,274,UK,Tablet,2025-11-06T14:22,video,True,website_form,Audio captions missing,,
275,275,Latvia,Desktop,2025-02-04T04:48,contrast,False,support_email,Audio captions missing,,
276,276,Austria,Tablet,2025-10-20T23:38,navigation,True,support_email,Color contrast poor,1.6,"frustrated,urgent"
277,277,Monaco,Desktop,2025-12-13T09:41,contrast,True,call_center,Audio captions missing,,
278,278,Bulgaria,Mobile,2025-03-13T18:26,navigation,True,call_center,Screenreader skips sections,3.0,"urgent,satisfied,resolved"
279,279,Italy,Mobile,2025-09-10T20:45,audio,False,call_center,Audio captions missing,1.3,"minor,urgent"
280,280,Hungary,Desktop,2025-09-07T04:34,navigation,False,chatbot,Screenreader skips sections,3.1,"minor,feature-request,urgent"
281,281,Austria,Desktop,2025-07-04T14:39,audio,True,support_email,No issues,2.7,urgent
